ID,name,2021TP,AreaKM2,FullISO,ISOsub,ISO2,ISO3,Shape
10,Ajlun,197299,418.01,JOAJ,AJ,JO,JOR,Polygon
11,Amman,4539505,7586.76,JOAM,AM,JO,JOR,Polygon
12,Aqaba,207905,6883.84,JOAQ,AQ,JO,JOR,Polygon
13,Balqa,550971,1123.2,JOBA,BA,JO,JOR,Polygon
14,Irbid,2049582,1562.64,JOIR,IR,JO,JOR,Polygon
15,Jarash,266034,414.07,JOJA,JA,JO,JOR,Polygon
16,Karak,351935,3731.56,JOKA,KA,JO,JOR,Polygon
17,Maan,179849,32784.63,JOMN,MN,JO,JOR,Polygon
18,Madaba,217963,1116.46,JOMD,MD,JO,JOR,Polygon
19,Mafraq,755183,26496.99,JOMA,MA,JO,JOR,Polygon
20,Tafilah,106103,2213,JOAT,AT,JO,JOR,Polygon
21,Zarqa,1574461,4782.41,JOAZ,AZ,JO,JOR,Polygon
