name,GOVCODE,Households,TotalPop,MalePop,FemalePop,Jordainian,NonJor,Syrian,NumberofSirianRefugees,SryStu,ID
Aqaba,34,38519,188160,106435,81725,135045,53115,7846,3349,570,12
Irbid,21,355597,1770160,914635,855523,1316620,453540,343460,135001,35838,14
Maan,33,28641,144082,75401,68681,127989,16093,8479,7365,1469,17
Madaba,14,38271,189192,99985,89207,156787,32405,14680,10819,1749,18
Mafraq,22,106521,549948,283534,266414,314164,235784,207924,157135,33737,19
Jarash,23,46798,237059,123245,113814,167751,69308,10883,9826,2542,15
Karak,31,63490,316629,165421,151208,272449,44180,17084,8472,1813,16
Ajlun,24,34950,176080,90626,85454,157162,18918,14553,8224,2482,10
Balqa,12,100126,491709,263984,227725,396939,94770,27968,19389,2677,13
Amman,11,865339,4007530,2151570,1855960,2554920,1452600,435590,174624,31673,11
Zarqa,13,279986,1364880,721601,643277,923652,441226,175274,109578,14444,21
Tafilah,32,19296,96291,50391,45900,90108,6183,1898,1532,64,20
