name,Pop_2014,Pop_Percen,Fema_2014,Male_2014,Pop_2012,Rural_2012,Urban_2012,Pop_2011,Ho_beds_14,Refugees,Pop_km__14,SHAPE_Length,SHAPE_Area,ID
Aqaba,145500,2.2,64500,81000,139200,19500,119700,136200,263,3138,21.1,543663.2364,9189234834,12
Irbid,1188100,17.8,579600,608500,1137100,194100,943000,1112300,1959,139860,755.9,299443.8297,2217925715,14
Maan,126900,1.9,60400,66500,121400,54800,666000,118800,203,7136,3.9,953054.3195,44155838906,17
Madaba,166900,2.5,80900,86000,159700,45700,114000,156300,188,10721,177.6,174104.1823,1311340113,18
Mafraq,313700,4.7,151100,162600,300300,182500,117800,293700,243,156564,11.8,1041567.188,37301753687,19
Jarash,200300,3,97300,103000,191700,71600,120100,187500,171,10247,488.8,144784.1857,566688600,15
Karak,260400,3.9,128600,131800,249100,161900,87200,243700,432,8633,74.5,374697.332,4772289265,16
Ajlun,153500,2.3,75300,78200,146900,35400,111500,143700,130,8745,365.8,121939.2084,590953362,10
Balqa,447200,6.7,215000,232200,428000,120600,307400,418600,388,19963,399.1,287930.7931,1532849558,13
Amman,2584600,38.7,1255600,1329000,2473400,147900,2325500,2419600,6453,171787,341,570996.0526,10708311145,11
Zarqa,994500,14.9,479900,514600,951800,52000,899800,931100,940,86196,208.9,563871.0378,6605195033,21
Tafilah,93400,1.4,45800,47600,89400,25600,63800,87500,106,1554,42.3,250021.4473,3092908293,20
